==16725== NVPROF is profiling process 16725, command: ./01
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 4 blocks of 256 threads
Copy output data from the CUDA device to the host memory
threadIdx:(64, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(65, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(66, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(67, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(68, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(69, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(70, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(71, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(72, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(73, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(74, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(75, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(76, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(77, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(78, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(79, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(80, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(81, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(82, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(83, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(84, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(85, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(86, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(87, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(88, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(89, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(90, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(91, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
threadIdx:(92, 0, 0) blockIdx:(3, 0, 0) blockDim:(256, 1, 1) gridDim:(4, 1, 1)
