==19353== NVPROF is profiling process 19353, command: ./01
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 2 blocks of 500 threads
Copy output data from the CUDA device to the host memory
threadIdx:(480, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(481, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(482, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(483, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(484, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(485, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(486, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(487, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(488, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(489, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(490, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(491, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(492, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(493, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(494, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(495, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(496, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
threadIdx:(497, 0, 0) blockIdx:(1, 0, 0) blockDim:(500, 1, 1) gridDim:(2, 1, 1)
