==18330== NVPROF is profiling process 18330, command: ./01
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 200 blocks of 5 threads
Copy output data from the CUDA device to the host memory
threadIdx:(2, 0, 0) blockIdx:(142, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(142, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(142, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(115, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(115, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(115, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(115, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(115, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(65, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(65, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(65, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(65, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(65, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(105, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(105, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(105, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(105, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(105, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(86, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(86, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(86, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(86, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(86, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(16, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(16, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(16, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(16, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(16, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(6, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(6, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(6, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(6, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(6, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(96, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(96, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(96, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(96, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(96, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(88, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(88, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(88, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(88, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(88, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(22, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(22, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(22, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(22, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(22, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(169, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(169, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(169, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(169, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(169, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(144, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(144, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(144, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(144, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(144, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(99, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(99, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(99, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(99, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(99, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(112, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(112, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(112, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(112, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(112, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(117, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(117, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(117, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(117, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(117, 0, 0) blockDim:(5, 1, 1) gridDim:(200, 1, 1)
