==18886== NVPROF is profiling process 18886, command: ./01
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 1 blocks of 1000 threads
Copy output data from the CUDA device to the host memory
threadIdx:(992, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(993, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(994, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(995, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(996, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(997, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(998, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(999, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(640, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(641, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(642, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(643, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(644, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(645, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(646, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(647, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(648, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(649, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(650, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(651, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(652, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(653, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(654, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(655, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(656, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(657, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
threadIdx:(658, 0, 0) blockIdx:(0, 0, 0) blockDim:(1000, 1, 1) gridDim:(1, 1, 1)
