==17301== NVPROF is profiling process 17301, command: ./01
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 16 blocks of 256 threads
Copy output data from the CUDA device to the host memory
threadIdx:(192, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(193, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(194, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(195, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(196, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(197, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(198, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(199, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(200, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(201, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(202, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(203, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(204, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(205, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(206, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(207, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(208, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(209, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(210, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(211, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(212, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(213, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(214, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(215, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
threadIdx:(216, 0, 0) blockIdx:(7, 0, 0) blockDim:(256, 1, 1) gridDim:(16, 1, 1)
